"","title","amount","dep","trans","views","city","states","date","time"
"722","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT","C Form",26,"Bangalore","Karnataka",2015-10-12,22
"723","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration","Registration of Property",22,"Bangalore","Karnataka",2015-10-12,22
"724","I Paid Rs. 5000 to Stamps and Registration in Bangalore.",5000,"Stamps and Registration","Registration of Flat or Apartment",19,"Bangalore","Karnataka",2015-10-12,22
"725","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",29,"Bangalore","Karnataka",2015-10-12,22
"726","I Paid Rs. 500 to Passport in Bangalore.",500,"Passport","Police Verification for Passport",27,"Bangalore","Karnataka",2015-10-12,22
"727","I Paid Rs. 1500 to Passport in Bangalore.",1500,"Passport","Police Verification for Passport",31,"Bangalore","Karnataka",2015-10-12,22
"728","I Paid Rs. 800 to Municipal Services in Bangalore.",800,"Municipal Services","Birth Certificate",28,"Bangalore","Karnataka",2015-10-12,22
"729","I Paid Rs. 600 to Police in Bangalore.",600,"Police","Filing FIR",27,"Bangalore","Karnataka",2015-10-12,22
"730","I Paid Rs. 10000 to Stamps and Registration in Bangalore.",10000,"Stamps and Registration","Registration of Property",20,"Bangalore","Karnataka",2015-10-12,22
"731","I Paid Rs. 200 to Police in Bangalore.",200,"Police","Police Harassment",26,"Bangalore","Karnataka",2015-10-12,22
"732","I Paid Rs. 500 to Railways in Bangalore.",500,"Railways","Transport of Goods",134,"Bangalore","Karnataka",2015-10-12,22
"733","I Paid Rs. 400 to Customs, Excise and Service Tax in Bangalore.",400,"Customs, Excise and Service Tax","Customs Check and Clearance",0,"Bangalore","Karnataka",2015-10-12,22
"734","I Paid Rs. 400 to Customs, Excise and Service Tax in Bangalore.",400,"Customs, Excise and Service Tax","Customs Check and Clearance",40,"Bangalore","Karnataka",2015-10-12,22
"735","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",23,"Bangalore","Karnataka",2015-10-12,22
"736","I Paid Rs. 1400 to Passport in Bangalore.",1400,"Passport","Passport Delivery",23,"Bangalore","Karnataka",2015-10-12,22
"737","I Paid Rs. 150 to Stamps and Registration in Bangalore.",150,"Stamps and Registration","Registration of Flat or Apartment",19,"Bangalore","Karnataka",2015-10-12,22
"738","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration","Registration of Flat or Apartment",20,"Bangalore","Karnataka",2015-10-12,22
